hr_count5000,0.009524
hr_bottom_count10,0.000000
hr_count250,0.008000
hr_prcntg90,0.010582
hr_bottom_count50,0.000000
hr_count50,0.020000
hr_bottom_prcntg90,0.009923
hr_prcntg1,0.047619
hr_count10,0.000000
hr_prcntg5,0.009524
hr_bottom_prcntg70,0.008505
hr_bottom_count250,0.000000
hr_bottom_prcntg50,0.003968
hr_bottom_prcntg40,0.002481
hr_bottom_prcntg20,0.002481
hr_prcntg60,0.015079
hr_prcntg20,0.011905
hr_prcntg40,0.015476
hr_count100,0.010000
hr_bottom_count1000,0.004000
hr_bottom_count500,0.002000
hr_bottom_count20,0.000000
hr_prcntg80,0.011310
hr_count1000,0.016000
hr_bottom_prcntg100,0.009926
hr_count2500,0.009524
hr_prcntg100,0.009524
hr_bottom_prcntg80,0.009305
hr_bottom_prcntg60,0.005790
hr_count20,0.050000
hr_bottom_count100,0.000000
hr_prcntg70,0.012925
hr_bottom_count5000,0.009926
hr_bottom_prcntg30,0.001653
hr_bottom_prcntg10,0.000000
hr_prcntg50,0.015238
hr_prcntg10,0.009524
hr_count500,0.010000
hr_prcntg30,0.012698
hr_bottom_count2500,0.009926
hr_bottom_prcntg5,0.000000
hr_bottom_prcntg1,0.000000
